,name,Pos,Club,Group,National Team,Birth town,Foreign-born,birth_country,
219,Fabinho,MF,Al-Ittihad (KSA),C,Brazil,"Campinas, Brazil",,Brazil,
387,Omar Alderete,DF,Sunderland (ENG),D,Paraguay,"Campo Grande, Asunciï¿½ï¿½n, Para",,Paraguay,
217,ýýderson,DF,Atalanta (ITA),C,Brazil,"Campo Grande, Brazil",,Brazil,
402,Jason Geria,DF,Albirex Niigata (JPN),D,Australia,"Canberra, Australia",,Australia,
231,Roger Ibaï¿½ï,DF,Al-Ahli (KSA),C,Brazil,"Canela, Brazil",,Brazil,
602,Dylan Bronn,DF,Servette (SUI),F,Tunisia,"Cannes, France",Yes,France,
538,Noa Lang,FW,Galatasaray (TUR),F,Netherlands,"Capelle aan den IJssel, Netherlands",,Netherlands,
294,Frantzdy Pierrot,FW,ýýaykur Rizespor (TUR),C,Haiti,"Cap-Haï¿½ï¿½tien, H",,Haiti,
364,ýýlex Arce,FW,Independiente Rivadavia (ARG),D,Paraguay,"Carapeguï¿½ï¿½, Para",,Paraguay,
710,Finn Surman,DF,Portland Timbers (USA),G,New Zealand,"Cardiff, Wales",Yes,Wales,
61,Lyle Foster,FW,Burnley (ENG),A,South Africa,"Carletonville, South Africa",,South Africa,
241,Azzedine Ounahi,MF,Girona (ESP),C,Morocco,"Casablanca, Morocco",,Morocco,
258,Youssef Belammari,DF,Al Ahly (EGY),C,Morocco,"Casablanca, Morocco",,Morocco,
704,Ben Old,MF,Saint-ï¿½ï¿½tienne (,G,New Zealand,"Castor Bay, Auckland, New Zealand",,New Zealand,
542,Teun Koopmeiners,MF,Juventus (ITA),F,Netherlands,"Castricum, Netherlands",,Netherlands,
208,Alex Sandro,DF,Flamengo,C,Brazil,"Catanduva, Sï¿½ï¿½o Paulo, Br",,Brazil,
850,Mike Maignan,GK,Milan (ITA),I,France,"Cayenne, French Guiana",,French Guiana,France
1073,James Rodrï¿½ï¿½,MF,Minnesota United FC (USA),K,Colombia,"Cï¿½ï¿½cuta, Norte de Santander, Colo",,Colombia,
2,Armando Gonzï¿½ï¿,FW,Guadalajara,A,Mexico,"Celaya, Guanajuato, Mexico",,Mexico,
10,Guillermo Martï¿½ï¿,FW,UNAM,A,Mexico,"Celaya, Guanajuato, Mexico",,Mexico,
1098,Dylan Batubinsika,DF,AEL (GRE),K,DR Congo,"Cergy-Pontoise, France",Yes,France,
770,Maximiliano Araï¿½ï,MF,Sporting CP (POR),H,Uruguay,"Cerrito de la Victoria, Montevideo, Uruguay",,Uruguay,
182,Ardon Jashari,MF,Milan (ITA),B,Switzerland,"Cham, Switzerland",,Switzerland,
623,Yan Valery,DF,Young Boys (SUI),F,Tunisia,"Champigny-sur-Marne, France",Yes,France,
1113,Thï¿½ï¿½o Bong,FW,Spartak Moscow (RUS),K,DR Congo,"Charleroi, Belgium",Yes,Belgium,
1198,Antoine Semenyo,FW,Manchester City (ENG),L,Ghana,"Chelsea, London, England",Yes,England,
1136,Otabek Shukurov,MF,Baniyas (UAE),K,Uzbekistan,"Chiroqchi, Uzbekistan",,Uzbekistan,
1002,Nadhir Benbouali,FW,Gyï¿½ï¿½ri ETO (,J,Algeria,"Chlef, Algeria",,Algeria,
988,Aï¿½ï¿½ssa M,DF,Lille (FRA),J,Algeria,"Chï¿½ï¿½lons-en-Champagne, Fr",Yes,France,
711,Francis de Vries,DF,Auckland FC,G,New Zealand,"Christchurch, New Zealand",,New Zealand,
305,Martin Expï¿½ï¿½ri,DF,Nancy (FRA),C,Haiti,"Chï¿½ï¿½teaubriant, Fr",Yes,France,
292,Duckens Nazon,FW,Esteghlal (IRN),C,Haiti,"Chï¿½ï¿½tenay-Malabry, Fr",Yes,France,
82,Hwang Hee-chan,MF,Wolverhampton Wanderers (ENG),A,South Korea,"Chuncheon, Gangwon, South Korea",,South Korea,
17,Luis Chï¿½ï¿,MF,Dynamo Moscow (RUS),A,Mexico,"Cihuatlï¿½ï¿½n, Jalisco, Me",,Mexico,
310,Woodensky Pierre,MF,Violette,C,Haiti,"Citï¿½ï¿½ Soleil, H",,Haiti,
371,Fabiï¿½ï¿½n Balb,DF,Grï¿½ï¿½mio (,D,Paraguay,"Ciudad del Este, Paraguay",,Paraguay,
312,Alejandro Zendejas,FW,Amï¿½ï¿½rica (,D,United States,"Ciudad Juï¿½ï¿½rez, Chihuahua, Me",Yes,Mexico,
383,Kaku,FW,Al-Ain (UAE),D,Paraguay,"Ciudadela, Argentina",Yes,Argentina,
959,Thiago Almada,FW,Atlï¿½ï¿½tico Madrid (,J,Argentina,"Ciudadela, Argentina",,Argentina,
1008,Riyad Mahrez,FW,Al-Ahli (KSA),J,Algeria,"Clichy, France",Yes,France,
1153,James Trafford,GK,Manchester City,L,England,"Cockermouth, England",,England,
1043,Francisco Conceiï¿½ï¿,FW,Juventus (ITA),K,Portugal,"Coimbra, Portugal",,Portugal,
854,Robin Risser,GK,Lens,I,France,"Colmar, France",,France,
1232,Eric Davis,DF,Plaza Amador,L,Panama,"Colï¿½ï¿½n, Pa",,Panama,
1238,Josï¿½ï¿½ Faj,FW,Universidad Catï¿½ï¿½lica (,L,Panama,"Colï¿½ï¿½n, Pa",,Panama,
1245,Yoel Bï¿½ï¿½rc,MF,Mazatlï¿½ï¿½n (,L,Panama,"Colï¿½ï¿½n, Pa",,Panama,
625,Amadou Onana,MF,Aston Villa (ENG),G,Belgium,"Colobane, Dakar, Senegal",Yes,Senegal,
119,Kerim Alajbegoviï¿,MF,Red Bull Salzburg (AUT),B,Bosnia and Herzegovina,"Cologne, Germany",Yes,Germany,
359,Salih ï¿½ï¿½,MF,Borussia Dortmund (GER),D,Turkey,"Cologne, Germany",Yes,Germany,
896,Ismail Jakobs,DF,Galatasaray (TUR),I,Senegal,"Cologne, Germany",Yes,Germany,
297,Jean-Ricner Bellegarde,MF,Wolverhampton Wanderers (ENG),C,Haiti,"Colombes, France",Yes,France,
846,Manu Konï¿,MF,Roma (ITA),I,France,"Colombes, France",,France,
409,Mohamed Tourï¿,FW,Norwich City (ENG),D,Australia,"Conakry, Guinea",Yes,Guinea,
1225,Carlos Harvey,MF,Minnesota United FC (USA),L,Panama,"Concepcion, Juan Diaz, Panama City, Panama",,Panama,
373,Gastï¿½ï¿½n Olv,GK,Olimpia,D,Paraguay,"Conciliaciï¿½ï¿½n, Montevideo, Uru",Yes,Uruguay,
1006,Ramy Bensebaini,DF,Borussia Dortmund (GER),J,Algeria,"Constantine, Algeria",,Algeria,
600,Anis Ben Slimane,MF,Norwich City (ENG),F,Tunisia,"Copenhagen, Denmark",Yes,Denmark,
474,Elye Wahi,FW,Nice (FRA),E,Cï¿½ï¿½te d'Iv,"Courcouronnes, France",Yes,France,
21,Orbelï¿½ï¿½n Pi,MF,AEK Athens (GRE),A,Mexico,"Coyuca de Catalï¿½ï¿½n, Guerrero, Me",,Mexico,
13,Jesï¿½ï¿½s Gall,DF,Toluca,A,Mexico,"Cï¿½ï¿½rdenas, Tabasco, Me",,Mexico,
937,Cristian Romero,DF,Tottenham Hotspur (ENG),J,Argentina,"Cï¿½ï¿½rdoba, Argen",,Argentina,
1111,Simon Banza,FW,Al Jazira (UAE),K,DR Congo,"Creil, France",Yes,France,
1091,Aaron Wan-Bissaka,DF,West Ham United (ENG),K,DR Congo,"Croydon, England",Yes,England,
1167,Tino Livramento,DF,Newcastle United,L,England,"Croydon, England",,England,
822,Roberto Lopes,DF,Shamrock Rovers (IRL),H,Cabo Verde,"Crumlin, Ireland",Yes,Ireland,
0,Alexis Vega,FW,Toluca,A,Mexico,"Cuauhtï¿½ï¿½moc, Mexico City, Me",,Mexico,
8,ýýrik Lira,MF,Cruz Azul,A,Mexico,"Cuauhtï¿½ï¿½moc, Mexico City, Me",,Mexico,
1066,Camilo Vargas,GK,Atlas (MEX),K,Colombia,"Cundinamarca, Bogotï¿½ï¿½, Colo",,Colombia,
172,Lucas Mendes,DF,Al-Wakrah,B,Qatar,"Curitiba, Brazil",Yes,Brazil,
223,Lï¿½ï¿½o Per,DF,Flamengo,C,Brazil,"Curitiba, Brazil",,Brazil,
78,Bae Jun-ho,MF,Stoke City (ENG),A,South Korea,"Daegu, South Korea",,South Korea,
899,Krï¿½ï¿½pin Di,DF,Monaco (FRA),I,Senegal,"Dakar, Senegal",,Senegal,
907,Pathï¿½ï¿½ ,MF,Rayo Vallecano (ESP),I,Senegal,"Dakar, Senegal",,Senegal,
264,Ben Gannon-Doak,MF,Bournemouth (ENG),C,Scotland,"Dalry, Ayrshire, Scotland",,Scotland,
91,Lee Dong-gyeong,MF,Ulsan HD,A,South Korea,"Dalseong-gun, Daegu, South Korea",,South Korea,
93,Lee Han-beom,DF,Midtjylland (DEN),A,South Korea,"Dalseong-gun, Daegu, South Korea",,South Korea,
790,Hassan Kadesh,DF,Al-Ittihad,H,Saudi Arabia,"Dammam, Saudi Arabia",,Saudi Arabia,
391,Ajdin Hrustic,MF,Heracles Almelo (NED),D,Australia,"Dandenong, Victoria, Australia",,Australia,
715,Lachlan Bayliss,MF,Newcastle Jets (AUS),G,New Zealand,"Darwin, Northern Territory, Australia",Yes,Australia,
845,Malo Gusto,DF,Chelsea (ENG),I,France,"Dï¿½ï¿½cines-Charpieu, Fr",,France,
531,Lutsharel Geertruida,DF,Sunderland (ENG),F,Netherlands,"De Peperklip, Rotterdam, Netherlands",,Netherlands,
609,Hazem Mastouri,FW,Dynamo Makhachkala (RUS),F,Tunisia,"Degache, Tunisia",,Tunisia,
238,Ayoub El Kaabi,FW,Olympiacos (GRE),C,Morocco,"Derb Milla, Casablanca, Morocco",,Morocco,
685,Mahmoud Saber,MF,ZED,G,Egypt,"Desouk, Egypt",,Egypt,
900,Lamine Camara,MF,Monaco (FRA),I,Senegal,"Diouloulou, Senegal",,Senegal,
933,Zaid Ismail,MF,Al-Talaba,I,Iraq,"Diyala, Iraq",,Iraq,
556,Gustaf Lagerbielke,DF,Braga (POR),F,Sweden,"Djursholm, Stockholm, Sweden",,Sweden,
121,Mladen Jurkas,GK,Borac Banja Luka,B,Bosnia and Herzegovina,"Doboj, Bosnia and Herzegovina",,Bosnia and Herzegovina,
156,Abdulaziz Hatem,MF,Al-Rayyan,B,Qatar,"Doha, Qatar",,Qatar,
157,Ahmed Al-Ganehi,MF,Al-Gharafa,B,Qatar,"Doha, Qatar",,Qatar,
160,Akram Afif,FW,Al-Sadd,B,Qatar,"Doha, Qatar",,Qatar,
161,Al-Hashmi Al-Hussain,DF,Al-Arabi,B,Qatar,"Doha, Qatar",,Qatar,
164,Ayoub Al-Oui,DF,Al-Gharafa,B,Qatar,"Doha, Qatar",,Qatar,
167,Hassan Al-Haydos,FW,Al-Sadd,B,Qatar,"Doha, Qatar",,Qatar,
168,Homam Ahmed,DF,Cultural Leonesa (ESP),B,Qatar,"Doha, Qatar",,Qatar,
170,Jassem Gaber,DF,Al-Rayyan,B,Qatar,"Doha, Qatar",,Qatar,
173,Mahmud Abunada,GK,Al-Rayyan,B,Qatar,"Doha, Qatar",,Qatar,
175,Mohamed Manai,FW,Al-Shamal,B,Qatar,"Doha, Qatar",,Qatar,
179,Sultan Al-Brake,DF,Al-Duhail,B,Qatar,"Doha, Qatar",,Qatar,
180,Tahsin Jamshid,FW,Al-Duhail,B,Qatar,"Doha, Qatar",,Qatar,
749,Pedro Porro,DF,Tottenham Hotspur (ENG),H,Spain,"Don Benito, Spain",,Spain,
89,Kim Seung-gyu,GK,FC Tokyo (JPN),A,South Korea,"Dong-gu, Ulsan, South Korea",,South Korea,
979,Paul Wanner,MF,PSV Eindhoven (NED),J,Austria,"Dornbirn, Austria",,Austria,
275,Kieran Tierney,DF,Celtic,C,Scotland,"Douglas, Isle of Man",Yes,Isle of Man,
874,Martin ï¿½ï¿½deg,MF,Arsenal (ENG),I,Norway,"Drammen, Norway",,Norway,
635,Kevin De Bruyne,MF,Napoli (ITA),G,Belgium,"Drongen, Belgium",,Belgium,
84,Jens Castrop,DF,Borussia Mï¿½ï¿½nchengladbach (,A,South Korea,"Dï¿½ï¿½sseldorf, Ger",Yes,Germany,
432,Malick Thiaw,DF,Newcastle United (ENG),E,Germany,"Dï¿½ï¿½sseldorf, Ger",,Germany,
270,Grant Hanley,DF,Hibernian,C,Scotland,"Dumfries, Scotland",,Scotland,
706,Callan Elliot,DF,Auckland FC,G,New Zealand,"Dumfries, Scotland",Yes,Scotland,
63,Nkosinathi Sibisi,DF,Orlando Pirates,A,South Africa,"Durban, South Africa",,South Africa,
67,Ricardo Goss,GK,Siwelele,A,South Africa,"Durban, South Africa",,South Africa,
1143,Bukayo Saka,FW,Arsenal,L,England,"Ealing, Greater London, England",,England,
266,Craig Gordon,GK,Heart of Midlothian,C,Scotland,"Edinburgh, Scotland",,Scotland,
688,Mohamed Alaa,GK,El Gouna,G,Egypt,Egypt (town not specified),,Egypt,
698,Tarek Alaa,DF,ZED,G,Egypt,"Egypt (town not specified, but probably Cairo)",,Egypt,
745,Mikel Oyarzabal,FW,Real Sociedad,H,Spain,"Eibar, Spain",,Spain,
522,Cody Gakpo,FW,Liverpool (ENG),F,Netherlands,"Eindhoven, Netherlands",,Netherlands,
1075,Jefferson Lerma,MF,Crystal Palace (ENG),K,Colombia,"El Cerrito, Colombia",,Colombia,
1221,Alberto Quintero,MF,Plaza Amador,L,Panama,"El Chorrillo, Panama City, Panama",,Panama,
1230,Cristian Martï¿½ï¿,MF,Ironi Kiryat Shmona (ISR),L,Panama,"El Chorrillo, Panama City, Panama",,Panama,
1239,Josï¿½ï¿½ Luis Rodrï¿,MF,Juï¿½ï¿½rez (,L,Panama,"El Chorrillo, Panama City, Panama",,Panama,
680,Hamdy Fathy,DF,Al-Wakrah (QAT),G,Egypt,"El Delengat, Beheira, Egypt",,Egypt,
12,Israel Reyes,DF,Amï¿½ï¿½,A,Mexico,"El Grullo, Jalisco, Mexico",,Mexico,
689,Mohamed El Shenawy,GK,Al Ahly,G,Egypt,"El Hamool, Kafr El Sheikh, Egypt",,Egypt,
695,Nabil Emad,MF,Al-Najma (KSA),G,Egypt,"El Mahalla El Kubra, Egypt",,Egypt,
987,Adil Boulbina,FW,Al-Duhail (QAT),J,Algeria,"El Milia, Algeria",,Algeria,
1064,ýýlvaro Montero,GK,Vï¿½ï¿½lez Sarsfield (,K,Colombia,"El Molino, La Guajira, Colombia",,Colombia,
331,Ricardo Pepi,FW,PSV Eindhoven (NED),D,United States,"El Paso, Texas, United States",,United States,
678,Emam Ashour,MF,Al Ahly,G,Egypt,"El Senbellawein, Dakahlia, Egypt",,Egypt,
956,Nicolï¿½ï¿½s Otam,DF,Benfica (POR),J,Argentina,"El Talar, Buenos Aires, Argentina",,Argentina,
446,Denil Castillo,MF,Midtjylland (DEN),E,Ecuador,"Eloy Alfaro Canton, Ecuador",,Ecuador,
467,Yaimar Medina,MF,Genk (BEL),E,Ecuador,"Eloy Alfaro Canton, Ecuador",,Ecuador,
953,Nahuel Molina,DF,Atlï¿½ï¿½tico Madrid (,J,Argentina,"Embalse, Cï¿½ï¿½rdoba, Argen",,Argentina,
505,Jï¿½ï¿½rgen Loc,FW,Miami FC (USA),E,Curaï¿½ï,"Emmen, Netherlands",Yes,Netherlands,
769,Matï¿½ï¿½as V,DF,River Plate (ARG),H,Uruguay,"Empalme Olmos, Uruguay",,Uruguay,
202,Remo Freuler,MF,Bologna (ITA),B,Switzerland,"Ennenda, Switzerland",,Switzerland,
914,Akam Hashim,DF,Al-Zawraa,I,Iraq,"Erbil, Iraq",,Iraq,
1080,Jorge Carrascal,MF,Flamengo (BRA),K,Colombia,"Escallï¿½ï¿½n Villa, Cartagena, Colo",,Colombia,
955,Nicolï¿½ï¿½s Gonzï,FW,Atlï¿½ï¿½tico Madrid (,J,Argentina,"Escobar, Argentina",,Argentina,
443,Alan Minda,MF,Atlï¿½ï¿½tico Mineiro (,E,Ecuador,"Esmeraldas, Ecuador",,Ecuador,
464,Pervis Estupiï¿½ï¿,DF,Milan (ITA),E,Ecuador,"Esmeraldas, Ecuador",,Ecuador,
465,Piero Hincapiï¿,DF,Arsenal (ENG),E,Ecuador,"Esmeraldas, Ecuador",,Ecuador,
739,Lamine Yamal,FW,Barcelona,H,Spain,"Esplugues de Llobregat, Spain",,Spain,
431,Leroy Sanï¿,MF,Galatasaray (TUR),E,Germany,"Essen, Germany",,Germany,
932,Youssef Amyn,MF,AEK Larnaca (CYP),I,Iraq,"Essen, Germany",Yes,Germany,
557,Gustaf Nilsson,FW,Club Brugge (BEL),F,Sweden,"Falkenberg, Sweden",,Sweden,
940,Exequiel Palacios,MF,Bayer Leverkusen (GER),J,Argentina,"Famaillï¿½ï¿½, Tucumï¿½ï¿½n, A",,Argentina,
975,Michael Svoboda,DF,Venezia (ITA),J,Austria,"Favoriten, Vienna, Austria",,Austria,
1121,Avazbek Ulmasaliev,DF,AGMK,K,Uzbekistan,"Fergana, Uzbekistan",,Uzbekistan,
236,Ahmed Reda Tagnaouti,GK,AS FAR,C,Morocco,"Fez, Morocco",,Morocco,
392,Alessandro Circati,DF,Parma (ITA),D,Australia,"Fidenza, Italy",Yes,Italy,
199,Miro Muheim,DF,Hamburger SV (GER),B,Switzerland,"Flï¿½ï¿½elen, Switzer",,Switzerland,
55,Ime Okon,DF,Hannover 96 (GER),A,South Africa,"Florida, Johannesburg, South Africa",,South Africa,
766,Juan Manuel Sanabria,MF,Real Salt Lake (USA),H,Uruguay,"Florida, Uruguay",,Uruguay,
973,Marko Arnautoviï¿,FW,Red Star Belgrade (SRB),J,Austria,"Floridsdorf, Vienna, Austria",,Austria,
736,Ferran Torres,FW,Barcelona,H,Spain,"Foios, Spain",,Spain,
337,Weston McKennie,MF,Juventus (ITA),D,United States,"Fort Lewis, Washington, United States",,United States,
806,CJ dos Santos,GK,San Diego (USA),H,Cabo Verde,"Fox Chase, Philadelphia, Pennsylvania, United States",Yes,United States,
868,Jï¿½ï¿½rgen Strand La,FW,Crystal Palace (ENG),I,Norway,"Fredrikstad, Norway",,Norway,
329,Maximilian Arfsten,DF,Columbus Crew,D,United States,"Fresno, California, United States",,United States,
198,Michel Aebischer,MF,Pisa (ITA),B,Switzerland,"Fribourg, Switzerland",,Switzerland,
301,Keeto Thermoncy,DF,Young Boys (SUI),C,Haiti,"Fribourg, Switzerland",Yes,Switzerland,
83,Hwang In-beom,MF,Feyenoord (NED),A,South Korea,"Galma-dong, Seo-gu, Daejeon, South Korea",,South Korea,
222,Igor Thiago,FW,Brentford (ENG),C,Brazil,"Gama, Federal District, Brazil",,Brazil,
54,Evidence Makgopa,FW,Orlando Pirates,A,South Africa,"GaMampa, South Africa",,South Africa,
92,Lee Gi-hyuk,DF,Gangwon FC,A,South Korea,"Gangbuk-gu, Seoul, South Korea",,South Korea,
95,Lee Kang-in,MF,Paris Saint-Germain (FRA),A,South Korea,"Ganseok-dong, Namdong-gu, Incheon, South Korea",,South Korea,
514,Shurandy Sambo,DF,Sparta Rotterdam (NED),E,Curaï¿½ï,"Geldrop, Netherlands",Yes,Netherlands,
350,Kaan Ayhan,MF,Galatasaray,D,Turkey,"Gelsenkirchen, Germany",Yes,Germany,
433,Manuel Neuer,GK,Bayern Munich,E,Germany,"Gelsenkirchen, West Germany",,West Germany,
188,Denis Zakaria,MF,Monaco (FRA),B,Switzerland,"Geneva, Switzerland",,Switzerland,
194,Johan Manzambi,MF,SC Freiburg (GER),B,Switzerland,"Geneva, Switzerland",,Switzerland,
207,Zeki Amdouni,FW,Burnley (ENG),B,Switzerland,"Geneva, Switzerland",,Switzerland,
703,Alex Rufer,MF,Wellington Phoenix,G,New Zealand,"Geneva, Switzerland",Yes,Switzerland,
1114,Timothy Fayulu,GK,Noah (ARM),K,DR Congo,"Geneva, Switzerland",Yes,Switzerland,
1014,Ali Azaizeh,FW,Al-Shabab (KSA),J,Jordan,Germany (town not specified),Yes,Germany,
235,Achraf Hakimi,DF,Paris Saint-Germain (FRA),C,Morocco,"Getafe, Madrid, Spain",Yes,Spain,
81,Eom Ji-sung,MF,Swansea City (WAL),A,South Korea,"Gimje, Jeonbuk, South Korea",,South Korea,
90,Kim Tae-hyeon,DF,Kashima Antlers (JPN),A,South Korea,"Gimpo, Gyeonggi, South Korea",,South Korea,
693,Mostafa Shobeir,GK,Al Ahly,G,Egypt,"Giza, Egypt",,Egypt,
260,Aaron Hickey,DF,Brentford (ENG),C,Scotland,"Glasgow, Scotland",,Scotland,
271,Jack Hendry,DF,Al-Ettifaq (KSA),C,Scotland,"Glasgow, Scotland",,Scotland,
272,John McGinn,MF,Aston Villa (ENG),C,Scotland,"Glasgow, Scotland",,Scotland,
278,Liam Kelly,GK,Rangers,C,Scotland,"Glasgow, Scotland",,Scotland,
280,Nathan Patterson,DF,Everton (ENG),C,Scotland,"Glasgow, Scotland",,Scotland,
412,Patrick Beach,GK,Melbourne City,D,Australia,"Glenmore Park, Sydney, Australia",,Australia,
279,Lyndon Dykes,FW,Charlton Athletic (ENG),C,Scotland,"Gold Coast, Queensland, Australia",Yes,Australia,
657,Danial Eiri,DF,Malavan,G,Iran,"Gonbad-e Kavus, Iran",,Iran,
945,Gonzalo Montiel,DF,River Plate,J,Argentina,"Gonzï¿½ï¿½lez Catï¿½ï¿½n, Buenos Aires, A",,Argentina,
526,Frenkie de Jong,MF,Barcelona (ESP),F,Netherlands,"Gorinchem, Netherlands",,Netherlands,
546,Alexander Bernhardsson,FW,Holstein Kiel (GER),F,Sweden,"Gothenburg, Sweden",,Sweden,
549,Benjamin Nygren,FW,Celtic (SCO),F,Sweden,"Gothenburg, Sweden",,Sweden,
925,Kevin Yakob,MF,Aarhus GF (DEN),I,Iraq,"Gothenburg, Sweden",Yes,Sweden,
68,Ronwen Williams,GK,Mamelodi Sundowns,A,South Africa,"Gqeberha, South Africa",,South Africa,
482,Jean Michaï¿½ï¿½l ,MF,Maribor (SVN),E,Cï¿½ï¿½te d'Iv,"Grand-Bï¿½ï¿½rï¿½ï¿½by, Cï¿½ï¿",,Ivory Coast,
287,Carl Saintï¿,MF,El Paso Locomotive FC (USA),C,Haiti,"Grand-Goï¿½ï¿½ve, H",,Haiti,
968,Florian Wiegele,GK,Viktoria Plzeï¿½ï¿½ (,J,Austria,"Graz, Austria",,Austria,
974,Michael Gregoritsch,FW,FC Augsburg (GER),J,Austria,"Graz, Austria",,Austria,
982,Romano Schmid,MF,Werder Bremen (GER),J,Austria,"Graz, Austria",,Austria,
146,Maxime Crï¿½ï¿½,GK,Orlando City SC (USA),B,Canada,"Greenfield Park, Quebec, Canada",,Canada,
1148,Eberechi Eze,FW,Arsenal,L,England,"Greenwich, Greater London, England",,England,
115,Haris Tabakoviï¿,FW,Borussia Mï¿½ï¿½nchengladbach (,B,Bosnia and Herzegovina,"Grenchen, Switzerland",Yes,Switzerland,
927,Marko Farji,MF,Venezia (ITA),I,Iraq,"Grimstad, Norway",Yes,Norway,
501,Jearl Margaritha,FW,Beveren (BEL),E,Curaï¿½ï,"Groningen, Netherlands",Yes,Netherlands,
504,Juninho Bacuna,MF,Volendam (NED),E,Curaï¿½ï,"Groningen, Netherlands",Yes,Netherlands,
509,Leandro Bacuna,MF,Iï¿½ï¿½dï¿½ï¿,E,Curaï¿½ï,"Groningen, Netherlands",Yes,Netherlands,
1089,Yerry Mina,DF,Cagliari (ITA),K,Colombia,"Guachenï¿½ï¿½, Colo",,Colombia,
5,Cï¿½ï¿½sar Hu,FW,Anderlecht (BEL),A,Mexico,"Guadalajara, Jalisco, Mexico",,Mexico,
11,Guillermo Ochoa,GK,AEL Limassol (CYP),A,Mexico,"Guadalajara, Jalisco, Mexico",,Mexico,
952,Lisandro Martï¿½ï¿,DF,Manchester United (ENG),J,Argentina,"Gualeguay, Argentina",,Argentina,
221,Gabriel Martinelli,FW,Arsenal (ENG),C,Brazil,"Guarulhos, Brazil",,Brazil,
1060,Rui Silva,GK,Sporting CP,K,Portugal,"ýýguas Santas, Portugal",,Portugal,
445,Anthony Valencia,FW,Antwerp (BEL),E,Ecuador,"Guayaquil, Ecuador",,Ecuador,
449,Gonzalo Plata,MF,Flamengo (BRA),E,Ecuador,"Guayaquil, Ecuador",,Ecuador,
454,Joel Ordï¿½ï¿½,DF,Club Brugge (BEL),E,Ecuador,"Guayaquil, Ecuador",,Ecuador,
458,Kendry Pï¿½ï,MF,River Plate (ARG),E,Ecuador,"Guayaquil, Ecuador",,Ecuador,
461,Moisï¿½ï¿½s Ramï,GK,Kifisia (GRE),E,Ecuador,"Guayaquil, Ecuador",,Ecuador,
892,Habib Diarra,MF,Sunderland (ENG),I,Senegal,"Guï¿½ï¿½diawaye, Sen",,Senegal,
357,Orkun Kï¿½ï¿½k,MF,Beï¿½ï¿½ik,D,Turkey,"Haarlem, Netherlands",Yes,Netherlands,
517,Trevor Doornbusch,GK,VVV-Venlo (NED),E,Curaï¿½ï,"Haarlem, Netherlands",Yes,Netherlands,
590,Takehiro Tomiyasu,DF,Ajax (NED),F,Japan,"Hakata, Fukuoka, Japan",,Japan,
1162,Morgan Rogers,MF,Aston Villa,L,England,"Halesowen, England",,England,
649,Zeno Debast,DF,Sporting CP (POR),G,Belgium,"Halle, Belgium",,Belgium,
554,Eric Smith,DF,FC St. Pauli (GER),F,Sweden,"Halmstad, Sweden",,Sweden,
577,Hiroki Itï¿,DF,Bayern Munich (GER),F,Japan,"Hamamatsu, Shizuoka, Japan",,Japan,
581,Keisuke Gotï¿,FW,Sint-Truiden (BEL),F,Japan,"Hamamatsu, Shizuoka, Japan",,Japan,
112,Ermedin Demiroviï¿,FW,VfB Stuttgart (GER),B,Bosnia and Herzegovina,"Hamburg, Germany",Yes,Germany,
455,John Yeboah,MF,Venezia (ITA),E,Ecuador,"Hamburg, Germany",Yes,Germany,
717,Logan Rogerson,MF,Auckland FC,G,New Zealand,"Hamilton, New Zealand",,New Zealand,
277,Lewis Ferguson,MF,Bologna (ITA),C,Scotland,"Hamilton, Scotland",,Scotland,
110,Dï¿½ï¿½enis Bur,MF,Karlsruher SC (GER),B,Bosnia and Herzegovina,"Hamm, Germany",Yes,Germany,
873,Marcus Holmgren Pedersen,DF,Torino (ITA),I,Norway,"Hammerfest, Norway",,Norway,
849,Michael Olise,FW,Bayern Munich (GER),I,France,"Hammersmith, London, England",Yes,England,
928,Merchas Doski,DF,Viktoria Plzeï¿½ï¿½ (,I,Iraq,"Hanover, Germany",Yes,Germany,
865,Fredrik Aursnes,MF,Benfica (POR),I,Norway,"Hareid, Norway",,Norway,
150,Owen Goodman,GK,Barnsley (ENG),B,Canada,"Harold Wood, London, England",Yes,England,
49,Tomï¿½ï¿½ï¿½ï¿½,MF,West Ham United (ENG),A,Czech Republic,"Havlï¿½ï¿½ï¿½ï¿½kï¿½ï¿½v Brod, Cz",,Czech Republic,
919,Aymen Hussein,FW,Al-Karma,I,Iraq,"Hawija, Kirkuk, Iraq",,Iraq,
594,Yuito Suzuki,FW,SC Freiburg (GER),F,Japan,"Hayama, Japan",,Japan,
540,Robin Roefs,GK,Sunderland (ENG),F,Netherlands,"Heeswijk, Netherlands",,Netherlands,
1173,Igor Matanoviï¿,FW,SC Freiburg (GER),L,Croatia,"Heimfeld, Hamburg, Germany",Yes,Germany,
962,Alexander Prass,DF,TSG Hoffenheim (GER),J,Austria,"Hellmonsï¿½ï¿½dt, Aus",,Austria,
617,Omar Rekik,DF,Maribor (SVN),F,Tunisia,"Helmond, Netherlands",Yes,Netherlands,
6,Cï¿½ï¿½sar Mo,DF,Lokomotiv Moscow (RUS),A,Mexico,"Hermosillo, Sonora, Mexico",,Mexico,
319,Christian Pulisic,FW,Milan (ITA),D,United States,"Hershey, Pennsylvania, United States",,United States,
